"","Tokyo","Delhi","Shanghai","Sao Paulo","Mexico City","Cairo","Mumbai","Beijing","Dhaka","Osaka","New York City","Karachi","Buenos Aires","Chongqing","Istanbul","Kolkata","Manila","Lagos","Rio de Janeiro","Tianjin","Kinshasa","Guangzhou","Los Angeles","Moscow","Shenzhen","Lahore","Bangalore","Paris","Bogota","Jakarta","Chennai","Lima","Bangkok","Seoul","Nagoya","Hyderabad","London","Tehran","Chicago","Chengdu","Nanjing","Wuhan","Ho Chi Minh City","Luanda","Ahmedabad","Kuala Lumpur","Xi'an","Hong Kong","Dongguan","Hangzhou","Foshan","Shenyang","Riyadh","Baghdad","Santiago","Surat","Madrid","Suzhou","Pune","Harbin","Houston","Dallas","Toronto","Dar es Salaam","Miami","Belo Horizonte","Singapore","Philadelphia","Atlanta","Fukuoka","Khartoum","Barcelona","Johannesburg","Saint Petersburg","Qingdao","Dalian","Washington D.C.","Yangon","Alexandria","Jinan","Guadalajara"
"Tokyo",0,5671.710832,1765.489408,16126.23366,11322.33078,9585.553424,6737.930033,2101.510053,4902.885821,402.606619,10874.15081,6919.972028,18364.96289,3173.412486,8970.732884,5139.923517,2994.685834,13493.56447,18555.73372,2028.31602,13367.40544,2908.859543,8828.363719,7500.571261,2891.232634,5973.703587,6672.879315,9738.200841,14325.79863,5770.20913,6435.241426,15494.45096,4588.567598,1157.318732,263.800258,6332.109309,9582.744673,7680.982924,10156.12133,3356.300978,1978.89564,2433.348559,4332.069111,13857.47804,6548.825334,5318.52429,2806.864802,2889.825099,2874.441733,1924.57396,2929.402152,1569.388199,8710.250348,8367.037729,17237.42112,6626.22809,10785.25553,1840.356292,6682.35629,1569.773061,10751.80352,10418.7443,10369.74593,11398.07525,12015.85464,18218.71399,5312.227843,10895.37138,11053.3011,889.438324,10502.24229,10438.84132,13546.87987,7615.116936,1748.406849,1646.171109,10924.26218,4781.528828,9599.185543,2045.496981,10905.66869
"Delhi",5671.710832,0,3992.774194,13955.597,15124.24538,4950.097689,1073.238761,3675.613042,928.375399,5293.388076,12327.19945,1424.183572,16011.91566,2550.481949,5138.547435,760.000833,4289.417895,8500.879597,14447.47172,3714.419744,7822.863937,3251.112146,13178.19754,4932.039072,3326.873509,1020.246602,1360.410167,7194.209925,15818.58894,4384.762892,1301.029548,17348.51504,2353.877747,4532.366708,5419.956525,861.40415,7316.393817,3109.740559,12543.07199,2331.524208,3738.142943,3306.847304,3091.263243,8262.376499,912.136321,3235.2139,2865.731583,3355.431204,3299.764198,3866.117557,3235.402191,4299.353678,3492.68335,3700.780147,17142.55382,957.122241,7868.804269,3910.539796,1034.681525,4652.017656,13960.83405,13640.70876,12181.70175,5741.173731,14077.35586,14405.85164,3540.144062,12438.11124,13357.26022,4828.004947,5175.838061,7366.58288,8037.828844,5515.21212,3925.4084,4082.337612,12608.8495,1773.560584,5061.380909,3637.341008,14955.12916
"Shanghai",1765.489408,3992.774194,0,16498.01457,12928.79171,8369.105376,5039.170575,1067.585149,3170.963799,1364.03512,11883.79367,5322.881249,19631.1089,1446.049466,8004.151555,3405.952111,1843.765282,12242.62085,18276.15027,955.694974,11800.63497,1212.060637,10451.96218,6831.161609,1220.275275,4447.355999,4917.649215,9283.428701,15709.7209,4418.872057,4675.090896,17163.67375,2868.856568,863.116804,1501.78503,4597.038514,9214.85779,6391.064327,11376.71203,1663.690824,271.863865,688.43545,2735.910927,12252.65407,4894.325456,3738.693935,1220.097512,1230.666471,1188.321843,167.7548,1231.518117,1183.999046,7253.242232,7085.658822,18861.701,4948.963289,10273.20545,82.481334,4974.148014,1670.141603,12212.77681,11864.7351,11444.41551,9667.90732,13289.31735,18095.4853,3795.638175,11933.18563,12314.49081,876.811041,9034.322439,9844.048371,11781.39171,7117.86097,546.148858,850.390357,12005.58707,3020.359956,8418.830762,728.531928,12538.09848
"Sao Paulo",16126.23366,13955.597,16498.01457,0,6086.415067,9006.188107,13249.20621,15431.53353,14860.17301,16296.82437,5369.890536,12564.92247,3856.411252,15855.28245,8974.010843,14715.5167,18078.26378,5720.783684,2429.575653,15542.73335,6989.968807,16836.45564,8332.045905,9821.999638,16926.80614,13075.63803,13851.69037,7328.541987,3027.894821,17059.52509,14129.69889,3467.830987,16260.75696,15955.10953,16231.30885,13856.69564,7353.674303,10905.52817,6259.937078,15598.66905,16315.27417,16252.04947,16992.96313,6778.393365,13138.17953,16605.0844,15622.60138,16964.30068,16875.1067,16550.47262,16831.99378,15430.50241,10504.50837,10271.32128,4296.07329,13202.21858,6409.912618,16462.06973,13359.79428,15049.09334,6134.397929,6398.28397,5907.161138,9645.311179,4621.825817,2092.502712,16845.09053,5371.081173,5476.91316,16427.7947,8989.096423,6881.877903,8500.857698,9457.050264,15959.83325,15697.93626,5381.057513,15698.31464,8898.947954,15783.88414,6548.447311
"Mexico City",11322.33078,15124.24538,12928.79171,6086.415067,0,12392.68585,15661.38833,12478.47544,15127.71342,11701.02827,3364.417359,14882.63355,7364.003913,13933.60859,11449.10972,15288.58624,14238.68497,11085.23364,7644.402811,12513.07216,12742.05276,14140.67797,2493.982088,10744.52039,14146.72568,14326.98524,16409.92327,9215.167978,3173.077519,16861.71073,16419.41855,4237.843243,15741.96347,12074.6811,11566.57954,15921.74405,8950.133695,13170.6695,2721.620579,13941.40303,13034.00248,13429.2101,15644.94565,12680.95652,15228.9777,16640.02868,13372.24591,14154.09763,14116.86032,13095.45837,14159.98784,11945.91179,13896.81086,13011.6577,6581.880198,15432.96099,9085.039797,12980.35516,15741.56291,11449.32776,1215.36781,1499.375162,3263.457191,15330.03633,2069.947369,7424.690746,16622.29579,3236.89691,2162.906979,12145.66751,13474.53491,9508.783893,14584.52268,10110.80171,12598.505,12289.6402,3037.984179,15670.79566,12215.68139,12740.35485,462.564357
"Cairo",9585.553424,4950.097689,8369.105376,9006.188107,12392.68585,0,4361.263202,7557.31793,5856.38501,9324.719732,9039.893757,3584.848465,11811.90522,7131.341068,1232.689696,5709.721195,9188.274331,3914.748908,9908.746168,7652.80666,4167.214813,8034.187087,12221.62785,2896.844801,8120.545273,4100.475563,5120.467436,3213.290327,11222.8462,8971.014774,5363.240871,12427.35648,7284.031879,8504.922819,9406.25014,4968.075471,3511.65409,1983.962162,9882.447514,6865.131667,8099.135313,7782.83471,8024.95111,4716.5195,4167.963821,7957.670644,7159.728757,8154.503656,8081.01962,8303.824328,8022.74826,8020.51841,1640.492423,1297.529849,12796.60044,4264.126679,3353.766042,8292.77837,4479.396253,8068.628216,11305.11434,11166.33508,9228.040756,4169.58198,10455.59968,9764.460725,8262.003988,9167.057132,10238.68164,8986.475516,1612.355588,2898.111487,6230.421469,3317.809227,8043.852946,8012.088231,9365.716031,6708.806068,178.143655,7741.866956,12590.58239
"Mumbai",6737.930033,1073.238761,5039.170575,13249.20621,15661.38833,4361.263202,0,4748.302122,1886.511855,6356.090589,12555.28936,873.233826,14948.169,3593.122361,4813.31268,1662.653615,5135.616154,7629.030169,13456.2806,4787.646625,6814.765641,4209.361322,14005.11503,5022.480905,4277.4989,1386.913601,846.746451,7016.577844,15554.33882,4644.570532,1032.128323,16717.03013,3016.995678,5602.936608,6484.273096,612.113277,7195.364231,2795.529204,12963.72839,3387.116103,4790.266498,4350.901544,3743.807068,7234.563231,436.068063,3597.085567,3934.743492,4302.346119,4257.516457,4905.950508,4191.955672,5371.499041,2767.76961,3237.285364,16076.46101,232.014816,7537.789995,4957.444531,118.914957,5716.530612,14451.10295,14163.94514,12504.79011,4668.70983,14257.03229,13443.6014,3902.398569,12675.55448,13680.21771,5886.085484,4297.325885,7039.713072,6972.816724,5646.620445,4994.148476,5155.338172,12861.71261,2477.400045,4499.250176,4708.463682,15585.20973
"Beijing",2101.510053,3675.613042,1067.585149,15431.53353,12478.47544,7557.31793,4748.302122,0,3030.557623,1785.077101,11014.36334,4843.504138,19265.62553,1461.065099,7074.032607,3263.040434,2842.528823,11470.17221,17346.44824,113.403321,11266.71384,1888.674402,10079.52599,5807.670274,1942.069649,3880.057133,4827.667003,8237.293945,14956.84882,5191.958849,4627.432156,16646.11539,3273.062717,957.947921,1883.828094,4421.317344,8158.833516,5614.568667,10623.98096,1521.33692,901.097528,1059.799841,3374.241584,11761.10203,4512.430439,4335.537928,916.974488,1968.864364,1890.773912,1126.528224,1901.629302,625.820639,6610.378907,6306.902899,19055.23028,4611.165692,9239.657668,1031.113592,4708.162506,1053.452235,11618.89912,11265.03988,10612.08264,9409.895983,12529.98001,17109.71227,4459.306923,11075.33302,11568.10365,1432.048088,8403.277772,8822.849969,11701.27783,6068.000268,550.719407,459.928158,11166.63986,3226.017254,7587.490443,368.743116,12134.04369
"Dhaka",4902.885821,928.375399,3170.963799,14860.17301,15127.71342,5856.38501,1886.511855,3030.557623,0,4511.532242,12695.45257,2352.463332,16780.8395,1730.99212,5964.982772,237.366684,3362.055805,9426.891238,15339.43449,3046.800403,8699.545021,2337.22428,12933.0348,5554.089492,2410.026998,1804.863402,1799.296011,7925.255329,16454.23293,3745.42505,1598.666236,18166.69896,1531.065698,3798.707806,4643.904388,1429.324222,8014.951192,3969.362653,12739.8146,1555.133012,2931.666159,2483.581706,2242.678952,9120.833837,1824.056164,2577.635369,2144.891892,2437.289274,2385.771228,3031.449491,2320.737529,3652.431137,4420.500841,4589.78998,17883.04948,1830.754803,8667.173775,3090.246204,1812.006294,4064.8258,14052.71412,13711.11251,12473.67315,6499.586432,14438.21257,15314.36063,2864.680715,12796.11131,13619.19539,4032.583322,6098.426265,8168.023379,8693.719884,6094.975822,3184.095188,3388.74075,12950.014,971.832293,5961.338169,2920.203007,14874.75756
"Osaka",402.606619,5293.388076,1364.03512,16296.82437,11701.02827,9324.719732,6356.090589,1785.077101,4511.532242,0,11131.42501,6562.378202,18747.82626,2780.758199,8766.074562,4748.247239,2659.847006,13239.3427,18697.54202,1701.30711,13027.87044,2509.298695,9207.818862,7355.50746,2493.586568,5629.590869,6275.889775,9657.590138,14671.62312,5430.343588,6036.527559,15888.13213,4189.035981,827.146225,139.471965,5940.810336,9521.360527,7395.721589,10455.31917,2970.288048,1582.542524,2036.020139,3947.516074,13508.09925,6177.339717,4939.012961,2433.788941,2493.128855,2475.575162,1522.321229,2529.809781,1317.126456,8389.378005,8086.37335,17616.46473,6249.478134,10697.86678,1439.648392,6298.134395,1439.58866,11101.90058,10765.17189,10638.73012,11009.94591,12332.1838,18365.58782,4942.607988,11158.73357,11363.91492,487.343774,10182.86897,10329.78317,13145.16875,7510.272025,1382.893814,1325.156893,11196.9605,4378.940112,9347.007039,1687.15769,11288.65281
